MANDT,BILLINGDOCUMENTTYPE,LANGUAGE,BILLINGDOCUMENTTYPENAME
102,BV,G,Πωλήσ.Τοις Μετρητοίς
102,BV,H,Készpénzes eladás
102,BV,I,Vendita in contanti
102,BV,J,現金販売
102,BV,K,Kontantsalg
102,BV,L,Sprzedaż gotówkowa
102,BV,M,現金銷售
102,BV,N,Contante verkoop
102,BV,O,Kontantsalg
102,BV,P,Venda à vista
102,BV,Q,Predaj za hotové
102,BV,R,Продажа за наличные
102,BV,S,Venta al contado
102,BV,T,Nakit satış
102,BV,U,Käteismyynti
102,BV,V,Kontantförsäljning
102,BV,W,Кешови продажби
102,BV,X,Pardav. grynaisiais
102,BV,Y,Pārdošana par skaidru naudu
102,BV,c,Compravenda comptat
102,BV,d,Gotovinska prodaja
102,BV,묩,नकद विक्रय
102,BV,뱋,ҚҚА сату
102,BV,쁩,Bán tiền mặt
102,CBC1,1,发票作废
102,CBC1,2,การยกเลิกใบแจ้งหนี้
102,CBC1,3,송장 취소
102,CBC1,4,Stornare factură
102,CBC1,5,Storno računa
102,CBC1,6,Storniranje fakture
102,CBC1,7,Pembatalan Invois
102,CBC1,8,Скасування рахунка-фактури
102,CBC1,9,Arve tühistamine
102,CBC1,A,إلغاء الفاتورة
102,CBC1,B,ביטול חשבונית
102,CBC1,C,Storno faktury
102,CBC1,D,Rechnungsstorno
102,CBC1,E,Invoice Cancellation
102,CBC1,F,Annulation facture
102,CBC1,G,Ακύρωση Τιμολογίου
102,CBC1,H,Számlastornó
102,CBC1,I,Storno fattura
102,CBC1,J,請求書取消
102,CBC1,K,Fakturaannullering
102,CBC1,L,Storno faktury
102,CBC1,M,發票取消
102,CBC1,N,Factuurstorno
102,CBC1,O,Fakturaannullering
102,CBC1,P,Estorno de fatura
102,CBC1,Q,Storno faktúry
102,CBC1,R,Сторнирование счета
102,CBC1,S,Cancelación de facturas
102,CBC1,T,Fatura iptali
102,CBC1,U,Laskun peruutus
102,CBC1,V,Fakturaannullering
102,CBC1,W,Сторно на фактура
102,CBC1,X,Sąskaitos anuliavimas
102,CBC1,Y,Faktūrrēķina atcelšana
102,CBC1,c,Cancel·lació de factures
102,CBC1,d,Storniranje fakture
102,CBC1,묩,इनवॉइस रद्दीकरण
102,CBC1,뱋,Фактураны болдырмау
102,CBC1,쁩,Hủy hóa đơn
102,CBD1,1,发票
102,CBD1,2,ใบแจ้งหนี้
102,CBD1,3,송장
102,CBD1,4,Factură
102,CBD1,5,Račun
102,CBD1,6,Faktura
102,CBD1,7,Invois
102,CBD1,8,Рахунок-фактура
102,CBD1,9,Arve
102,CBD1,A,الفاتورة
102,CBD1,B,חשבונית
102,CBD1,C,Faktura
102,CBD1,D,Rechnung
102,CBD1,E,Invoice
102,CBD1,F,Facture
102,CBD1,G,Τιμολόγιο
102,CBD1,H,Számla
102,CBD1,I,Fattura
102,CBD1,J,請求書
102,CBD1,K,Faktura
102,CBD1,L,Faktura
102,CBD1,M,發票
102,CBD1,N,Factuur
102,CBD1,O,Faktura
102,CBD1,P,Fatura
102,CBD1,Q,Faktúra
102,CBD1,R,Счет
102,CBD1,S,Factura
102,CBD1,T,Fatura
102,CBD1,U,Lasku
102,CBD1,V,Faktura
102,CBD1,W,Фактура
102,CBD1,X,Sąskaita
102,CBD1,Y,Faktūrrēķins
102,CBD1,c,Factura
102,CBD1,d,Faktura
102,CBD1,묩,चालान
102,CBD1,뱋,Шот-фактура
102,CBD1,쁩,Hóa đơn
102,CBD2,1,发票
102,CBD2,2,ใบแจ้งหนี้
102,CBD2,3,송장
102,CBD2,4,Factură
102,CBD2,5,Račun
102,CBD2,6,Faktura
102,CBD2,7,Invois
102,CBD2,8,Рахунок-фактура
102,CBD2,9,Arve
102,CBD2,A,الفاتورة
102,CBD2,B,חשבונית
102,CBD2,C,Faktura
102,CBD2,D,Rechnung
102,CBD2,E,Invoice
102,CBD2,F,Facture
102,CBD2,G,Τιμολόγιο
102,CBD2,H,Számla
102,CBD2,I,Fattura
102,CBD2,J,請求書
102,CBD2,K,Faktura
102,CBD2,L,Faktura
102,CBD2,M,發票
102,CBD2,N,Factuur
102,CBD2,O,Faktura
102,CBD2,P,Fatura
102,CBD2,Q,Faktúra
102,CBD2,R,Счет
102,CBD2,S,Factura
102,CBD2,T,Fatura
102,CBD2,U,Lasku
102,CBD2,V,Faktura
102,CBD2,W,Фактура
102,CBD2,X,Sąskaita
102,CBD2,Y,Faktūrrēķins
102,CBD2,c,Factura
102,CBD2,d,Faktura
102,CBD2,묩,चालान
102,CBD2,뱋,Шот-фактура
102,CBD2,쁩,Hóa đơn
102,CBRE,1,退货贷项凭证
102,CBRE,2,ใบลดหนี้ของการส่งคืน
102,CBRE,3,대변 메모(반품)
102,CBRE,4,Credit memo pt.retururi
102,CBRE,5,Dobropis vračila
102,CBRE,6,Odobrenje za povrate
102,CBRE,7,Memo Kredit untuk Pulangan
102,CBRE,8,Кредитове авізо для повернень
102,CBRE,9,Tagastuste kreeditarve
102,CBRE,A,مذكرة دائن للمرتجعات
102,CBRE,B,הודעת זיכוי עבור החזרות
102,CBRE,C,Dobropis pro vrácené dodávky
102,CBRE,D,Retourengutschrift
102,CBRE,E,Credit Memo for Returns
102,CBRE,F,Avoir pour retours
102,CBRE,G,Πιστωτικό Σημείωμα για Επιστροφές
102,CBRE,H,Visszáru-jóváírás
102,CBRE,I,Nota di credito per resi
102,CBRE,J,返品用クレジットメモ
102,CBRE,K,Kreditnota for returvarer
102,CBRE,L,Faktura korygująca minus za zwroty
102,CBRE,M,退貨貸項通知單
102,CBRE,N,Retourencreditnota
102,CBRE,O,Kreditnota for returer
102,CBRE,P,Nota de crédito para devoluções
102,CBRE,Q,Dobropis za vrátenú dodávku
102,CBRE,R,Кредит. авизо для возвратов
102,CBRE,S,Abono para devoluciones
102,CBRE,T,İadeler için alacak dekontu
102,CBRE,U,Palautusten hyvitys
102,CBRE,V,Kreditnota för returer
102,CBRE,W,Кредит. авизо за върн. ст.
102,CBRE,X,Grąžinimų kreditinė sąskaita
102,CBRE,Y,Kredītrēķini atgrieztajām precēm
102,CBRE,c,Abonament per a devolucions
102,CBRE,d,Odobrenje za vraćanja
102,CBRE,묩,वापसी हेतु क्रेडिट मेमो
102,CBRE,뱋,Қайтарымдарға арналған кредиттік авизо
102,CBRE,쁩,Giấy ghi có cho trả hàng
102,CFB3,1,CF 部分回扣结算
102,CFB3,2,CF ชำระบ/ชคืนบางส่วน
102,CFB3,3,CF 분할리베이트정산
102,CFB3,4,CF set.dec.parţ.rab.
102,CFB3,5,CF del.obrač.bonusa
102,CFB3,6,CF djel.obr.rabata
102,CFB3,7,CF Ttapn Rebat Spara
102,CFB3,8,CF част.розр.знижки
102,CFB3,9,CF: boon.osal.arveld
102,CFB3,A,تسويةخصم جزئية لـ CF
102,CFB3,B,הסכם הנחה חלקית CF
102,CFB3,C,Částeč.zúčt.bonusu CF
102,CFB3,D,CF Bonusteilabr.
102,CFB3,E,CF Part.Rebate Sett.
102,CFB3,F,Calc. part. rist. CF
102,CFB3,G,CF Διακ.Μερ.Εκπτωσ..
102,CFB3,H,CF bón.részl.elszám.
102,CFB3,I,CF: liq. parz. bonus
102,CFB3,J,CF 分割リベート決済
102,CFB3,K,CF bonusdelafregning
102,CFB3,L,Częśc.roz.rabatu CF
102,CFB3,M,CF 部份回扣結算
102,CFB3,N,CF bonusdeelafrek.
102,CFB3,O,CF delavr. av bonus
102,CFB3,P,Liquid.parc.bônus CF
102,CFB3,Q,CF Čiast.zúčt.bonusu
102,CFB3,R,ЧастичРасчБонуса CF
102,CFB3,S,Liq.parc.rappel CF
102,CFB3,T,CF kısmi prim hsplş.
102,CFB3,U,CF bon. osatilitys
102,CFB3,V,CF bonusavräkn.
102,CFB3,W,CF част.разчет рабат
102,CFB3,X,CF dal.nuolaid. ats.
102,CFB3,Y,CF daļ. b.atl. iest.
102,CFB3,c,Liq.parcial ràpel CF
102,CFB3,d,CF del.obr.bonusa
102,CFB3,묩,CF आंशिक छूट निपटान
102,CFB3,뱋,CF бонус.ішін.есепт.
102,CFB3,쁩,Tl ggiá tphần CF
102,CFG2,1,CF 贷项凭证
102,CFG2,2,CF ใบลดหนี้
102,CFG2,3,CF 대변 메모
102,CFG2,4,CF credit memo
102,CFG2,5,CF dobropis
102,CFG2,6,CF odobrenje
102,CFG2,7,CF Memo Kredit
102,CFG2,8,CF кредитове авізо
102,CFG2,9,CF: kreeditarve
102,CFG2,A,مذكرة دائنة لـ CF
102,CFG2,B,הודעת זיכוי CF
102,CFG2,C,Dobropis CF
102,CFG2,D,CF Gutschrift
102,CFG2,E,CF Credit Memo
102,CFG2,F,Avoir CF
102,CFG2,G,CF Πιστωτ.Σημείωμα
102,CFG2,H,CF jóváírás
102,CFG2,I,CF: nota di credito
102,CFG2,J,CF クレジットメモ
102,CFG2,K,CF kreditnota
102,CFG2,L,Fakt.koryg. minus CF
102,CFG2,M,CF 貸項通知單
102,CFG2,N,CF creditnota
102,CFG2,O,CF kreditnota
102,CFG2,P,Nota de crédito CF
102,CFG2,Q,CF Dobropis
102,CFG2,R,Кредитовое авизо CF
102,CFG2,S,Abono CF
102,CFG2,T,CF alacak dekontu
102,CFG2,U,CF hyvitys
102,CFG2,V,CF kreditnota
102,CFG2,W,CF кредитно авизо
102,CFG2,X,CF kreditinė sąsk.
102,CFG2,Y,CF kredītrēķins
102,CFG2,c,Abonament CF
102,CFG2,d,CF odobrenje
102,CFG2,묩,CF क्रेडिट मेमो
102,CFG2,뱋,CF кредиттік авизосы
102,CFG2,쁩,Giấy ghi có CF
102,CHFK,1,出具发票外部事务借方
102,CHFK,2,Bill.Ext.CH Trans. D
102,CHFK,3,어음 CH 거래 D
102,CHFK,4,Ext.fact.CH Trans.D
102,CHFK,5,Ekst.fakt.UP post.k.
102,CHFK,6,Proš.fak.UU trans. K
102,CHFK,7,UrsNg Caj Lrn Pgbl D
102,CHFK,8,Факт.розш.СН-транз.D
102,CHFK,9,Väl.arveld.CH toim D
102,CHFK,A,Bill.Ext.CH Trans. D
102,CHFK,B,חיוב תנועתCHחיצוניתD
102,CHFK,C,Fak.ext.SZ-operace D
102,CHFK,D,Fak.ext.VV-Vorgang D
102,CHFK,E,Bill.Ext.CH Trans. D
102,CHFK,F,Fact. op. GC ext. D
102,CHFK,G,Εξ.τιμολ.CH κίν.D
102,CHFK,H,Szl.külső SzK-műv. V
102,CHFK,I,Fatt.est.oper. GC C
102,CHFK,J,請求外部 CH 取引 D
102,CHFK,K,Fakt.Ekst.KS-oper. D
102,CHFK,L,Fak.zew.ZU-Oper. D
102,CHFK,M,請款外部 CH 交易借項
102,CHFK,N,Fac.ext.VV-trans. D
102,CHFK,O,Fak. ekst. KB-op. d.
102,CHFK,P,FatExtPrcdCompVarv.D
102,CHFK,Q,Fak.ext.oper.AdmZm D
102,CHFK,R,Факт.внеш.СбОперац D
102,CHFK,S,Fact.ext.oper.GC D
102,CHFK,T,FtrlmBlg.SY-işl.mştr
102,CHFK,U,Lask. ulk. SH-tap. A
102,CHFK,V,Fakt. ext. AA-tr. K
102,CHFK,W,Менителн.CH тран. D
102,CHFK,X,Sąsk.išor.CH oper.D
102,CHFK,Y,Nor. ār. CH trans. D
102,CHFK,c,Fact.oper.contr.extD
102,CHFK,d,Ekst.fakt.UU oper. D
102,CHFK,묩,बिलिंग बा. CH लेन. D
102,CHFK,뱋,Факт.сырт.алым тр. D
102,CHFK,쁩,L.h.đCH g.d.m.rộngD
102,CHFX,1,出具发票外部事务贷方
102,CHFX,2,Bill.Ext.CH Trans. C
102,CHFX,3,어음 CH 거래 C
102,CHFX,4,Ext.fact.CH Trans.C
102,CHFX,5,Ekst.fakt.UP post.d.
102,CHFX,6,Proš.fak.UU trans. D
102,CHFX,7,UrsNg Caj Lrn Pgbl C
102,CHFX,8,Факт.розш.СН-транз.C
102,CHFX,9,Väl.arveld.CH toim C
102,CHFX,A,Bill.Ext.CH Trans. C
102,CHFX,B,חיוב תנועתCHחיצוניתC
102,CHFX,C,Fak.ext.SZ-operace K
102,CHFX,D,Fak.ext.VV-Vorgang K
102,CHFX,E,Bill.Ext.CH Trans. C
102,CHFX,F,Fact. op. GC ext. C
102,CHFX,G,Εξ.τιμολ.CH κίν. C
102,CHFX,H,Szl.külső SzK-műv.Sz
102,CHFX,I,Fatt.est.oper. GC F
102,CHFX,J,請求外部 CH 取引 C
102,CHFX,K,Fakt.Ekst.KS-oper. K
102,CHFX,L,Fak.zew.ZU-Oper. K
102,CHFX,M,請款外部 CH 交易貸項
102,CHFX,N,Fac.ext.VV-trans. K
102,CHFX,O,Fak. ekst. KB-op. k.
102,CHFX,P,FatExtPrcdCompVarv.K
102,CHFX,Q,Fak.ext.oper.AdmZm K
102,CHFX,R,Факт.внеш.СбОперац K
102,CHFX,S,Fact.ext.oper.GC C
102,CHFX,T,Ftrlm.blg.SY-işl.stc
102,CHFX,U,Lask. ulk. SH-tap. A
102,CHFX,V,Fakt. ext. AA-tr. L
102,CHFX,W,Менителн.CH тран. C
102,CHFX,X,Sąsk.išor.CH oper.C
102,CHFX,Y,Nor. ār. CH trans. C
102,CHFX,c,Fact.oper.contr.extD
102,CHFX,d,Ekst.fakt.UU oper. C
102,CHFX,묩,बिलिंग बा. CH लेन. C
102,CHFX,뱋,Факт.сырт.алым тр. C
102,CHFX,쁩,L.h.đCH g.d.m.rộngC
102,CICX,1,发票作废
102,CICX,2,การยกเลิกใบแจ้งหนี้
102,CICX,3,송장 취소
102,CICX,4,Stornare factură
102,CICX,5,Storno računa
102,CICX,6,Storniranje fakture
102,CICX,7,Pembatalan Invois
102,CICX,8,Скасування рахунка-фактури
102,CICX,9,Arve tühistamine
102,CICX,A,إلغاء الفاتورة
102,CICX,B,ביטול חשבונית
102,CICX,C,Storno faktury
102,CICX,D,Rechnungsstorno
102,CICX,E,Invoice Cancellation
102,CICX,F,Annulation de facture
102,CICX,G,Ακύρωση Τιμολογίου
102,CICX,H,Számlastornó
102,CICX,I,Storno fattura
102,CICX,J,請求書取消
102,CICX,K,Fakturaannullering
102,CICX,L,Storno faktury
102,CICX,M,發票取消
102,CICX,N,Factuurstorno
102,CICX,O,Fakturaannullering
102,CICX,P,Estorno de fatura
102,CICX,Q,Storno faktúry
102,CICX,R,Сторнирование счета
102,CICX,S,Cancelación de facturas
102,CICX,T,Fatura iptali
102,CICX,U,Laskun peruutus
102,CICX,V,Fakturaannullering
102,CICX,W,Сторно на фактура
102,CICX,X,Sąskaitos anuliavimas
102,CICX,Y,Faktūrrēķina atcelšana
102,CICX,c,Cancel·lació de factures
102,CICX,d,Storniranje fakture
102,CICX,묩,इनवॉइस रद्दीकरण
102,CICX,뱋,Фактураны болдырмау
102,CICX,쁩,Hủy hóa đơn
102,CIX1,1,发票 - 外部交易
102,CIX1,2,รายการภายนอกใบแจ้งหนี้
102,CIX1,3,송장 외부 거래
102,CIX1,4,Tranzacţie ext.factură
102,CIX1,5,Eksterna transakcija računa
102,CIX1,6,Vanjska transakcija fakture
102,CIX1,7,Transaksi Luaran Invois
102,CIX1,8,Зовнішня транзакція рахунка-фактури
102,CIX1,9,Arve - väline tehing
102,CIX1,A,المعاملة الخارجية للفاتورة
102,CIX1,B,תנועת חשבונית חיצונית
102,CIX1,C,Ext. transakce faktury
102,CIX1,D,Externer Rechnungsvorgang
102,CIX1,E,Invoice Ext. Transaction
102,CIX1,F,Opération externe facture
102,CIX1,G,Εξωτερ.Κίνηση Τιμολογίου
102,CIX1,H,Külső számlatranzakció
102,CIX1,I,Transazione est. fattura
102,CIX1,J,請求書外部取引
102,CIX1,K,Ekst. faktureringstransaktion
102,CIX1,L,Zewnętrzna transakcja fakturowania
102,CIX1,M,發票外部交易
102,CIX1,N,Ext. factuurtransactie
102,CIX1,O,Faktura ekstern transaksjon
102,CIX1,P,Transação externa de fatura
102,CIX1,Q,Faktúra - externá operácia
102,CIX1,R,Внешняя операция счета-фактуры
102,CIX1,S,Operación de factura externa
102,CIX1,T,Fatura harici işlemi
102,CIX1,U,Lasku - ulkoinen tapahtuma
102,CIX1,V,Faktura extern transaktion
102,CIX1,W,Външна транзакция фактура
102,CIX1,X,Išorinė sąskaitos operacija
102,CIX1,Y,Faktūrrēķina ārējā transakcija
102,CIX1,c,Operació externa de factura
102,CIX1,d,Eksterna transakcija fakture
102,CIX1,묩,इनवॉयस बाहरी ट्रांजेक्शन
102,CIX1,뱋,Шот-фактураның сырт. транзакциясы
102,CIX1,쁩,Giao dịch bên ngoài hóa đơn
102,F1,1,发票
102,F1,2,ใบแจ้งหนี้
102,F1,3,송장
102,F1,4,Factură
102,F1,5,Račun
102,F1,6,Faktura
102,F1,7,Invois
102,F1,8,Рахунок-фактура
102,F1,9,Arve
102,F1,A,فاتورة
102,F1,B,חשבונית
102,F1,C,Faktura
102,F1,D,Rechnung
102,F1,E,Invoice
102,F1,F,Facture
102,F1,G,Τιμολόγιο
102,F1,H,Számla
102,F1,I,Fattura
102,F1,J,請求書
102,F1,K,Faktura
102,F1,L,Faktura
102,F1,M,發票
102,F1,N,Factuur
102,F1,O,Faktura
102,F1,P,Fatura
102,F1,Q,Faktúra
102,F1,R,Счет-фактура
102,F1,S,Factura
102,F1,T,Fatura
102,F1,U,Lasku
102,F1,V,Faktura
102,F1,W,Фактура
102,F1,X,Sąskaita
102,F1,Y,Faktūrrēķins
102,F1,c,Factura
102,F1,d,Faktura
102,F1,묩,इनवॉइस
102,F1,뱋,Шот-фактура
102,F1,쁩,Hoá đơn
102,F2,1,发票
102,F2,2,ใบกำกับสินค้า
102,F2,3,송장
102,F2,4,Factură
102,F2,5,Račun
102,F2,6,Faktura
102,F2,7,Invois
102,F2,8,Рахунок-фактура
102,F2,9,Arve
102,F2,A,الفاتورة
102,F2,B,חשבונית
102,F2,C,Faktura
102,F2,D,Rechnung
102,F2,E,Invoice
102,F2,F,Facture
102,F2,G,Τιμολόγιο
102,F2,H,Számla
102,F2,I,Fattura
102,F2,J,請求書
102,F2,K,Faktura
102,F2,L,Faktura
102,F2,M,發票
102,F2,N,Factuur
102,F2,O,Faktura
102,F2,P,Fatura
102,F2,Q,Faktúra
102,F2,R,Счет
102,F2,S,Factura
102,F2,T,Fatura
102,F2,U,Lasku
102,F2,V,Faktura
102,F2,W,Фактура
102,F2,X,Sąskaita
102,F2,Y,Faktūrrēķins
102,F2,c,Factura
102,F2,d,Faktura
102,F2,묩,इनवॉइस
102,F2,뱋,Шот-фактура
102,F2,쁩,Hóa đơn
102,F5,1,形式订单
102,F5,2,รายการชั่วคราวสำหรับใบสั่ง
102,F5,3,오더 견적
102,F5,4,Pro forma pt.comandă
102,F5,5,Proforma za naročilo
102,F5,6,Pro forma za nalog
102,F5,7,Pro Forma untuk Pesanan
102,F5,8,Проформа для замовлення
102,F5,9,Esialgn.arve tell-le
102,F5,A,شكلي للأمر
102,F5,B,פרופורמה להזמנה
102,F5,C,Proforma pro zakáz.
102,F5,D,Pro-forma für Auftrag
102,F5,E,Pro Forma for Order
102,F5,F,Facture proforma pour commande
102,F5,G,Pro Forma για Εντολή
102,F5,H,Pro forma rend.-hez
102,F5,I,Proforma per ordine
102,F5,J,受注のプロフォーマ
102,F5,K,Proforma til ordre
102,F5,L,Pro forma zlecenia
102,F5,M,預估訂單
102,F5,N,Pro-forma voor order
102,F5,O,Proforma for ordre
102,F5,P,Pro-forma p/ordem
102,F5,Q,Proforma pre zákaz.
102,F5,R,Счет-проформа для заказа
102,F5,S,Proforma para pedido
102,F5,T,Sprş.proforma ftr.
102,F5,U,Proforma tilausta varten
102,F5,V,Proforma för order
102,F5,W,Проформа за поръчка
102,F5,X,Išank.do k.užsakymui
102,F5,Y,Pasūtījuma pro forma
102,F5,c,Pro-forma p.comanda
102,F5,d,Pro forma za nalog
102,F5,묩,ऑर्डर हेतु अग्रिम
102,F5,뱋,Тапсырысқа арналған проформа
102,F5,쁩,Hđơnbgiá cho đhàng
102,F8,1,交货的形式发票
102,F8,2,ใบกำกับสินค้าชั่วคราวสำหรับการส่งมอบ
102,F8,3,납품 프로 포마 송장
102,F8,4,Factură pro forma pt.livrare
102,F8,5,Proforma račun za dobavo
102,F8,6,Pro forma faktura za isporuku
102,F8,7,Invois Pro Forma untuk Penghantaran
102,F8,8,Проформа для поставки
102,F8,9,Esialgne arve tarne eest
102,F8,A,فاتورة شكلية للتسليم
102,F8,B,חשבונית פרופורמה עבור אספקה
102,F8,C,Proforma faktura pro dodávku
102,F8,D,Pro-forma-Rechnung für Lieferung
102,F8,E,Pro Forma Invoice for Delivery
102,F8,F,Facture proforma pour livraison
102,F8,G,ProForma Τιμολόγιο για Παράδοση
102,F8,H,Pro forma számla szállításhoz
102,F8,I,Fattura proforma per consegna
102,F8,J,出荷のプロフォーマインボイス
102,F8,K,Proformafaktura for levering
102,F8,L,Faktura pro forma dla dost.
102,F8,M,交貨的預估發票
102,F8,N,Pro-formafactuur voor levering
102,F8,O,Proformafaktura for levering
102,F8,P,Fatura pro forma p/remessa
102,F8,Q,Proforma fakt.pre dodávku
102,F8,R,Счет-проформа для поставки
102,F8,S,Factura proforma para entrega
102,F8,T,Teslimat için proforma faturası
102,F8,U,Proformalasku toimitusta varten
102,F8,V,Pro forma-faktura för leverans
102,F8,W,Проформа фактура за доставка
102,F8,X,Išankst. dok. sąsk. pristat.
102,F8,Y,Faktūrrēķina pro forma piegādei
102,F8,c,Factura pro-forma p.lliurament
102,F8,d,Pro forma faktura za isporuku
102,F8,묩,वितरण हेतु अग्रिम इनवॉइस
102,F8,뱋,Жетк.арн.порф.-шот
102,F8,쁩,Hóa đơn tạm để giao hàng
102,FADP,1,预付款请求
102,FADP,2,คำขอให้ชำระเงินดาวน์
102,FADP,3,선금 요청
102,FADP,4,Cerere de plată în avans
102,FADP,5,Zahteva za predplačilo
102,FADP,6,Zahtjev za predujam
102,FADP,7,Permintaan Bayaran Pendahuluan
102,FADP,8,Вимога авансов.плат.
102,FADP,9,Ettemaksetaotlus
102,FADP,A,طلب دَفعة مقدّمة
102,FADP,B,בקשת מקדמה
102,FADP,C,Požadavek na zálohu
102,FADP,D,Anzahlungsanford.
102,FADP,E,Down Payment Request
102,FADP,F,Demande d'acompte
102,FADP,G,Αίτηση Προκαταβολής
102,FADP,H,Előlegigénylés
102,FADP,I,Richiesta di antic.
102,FADP,J,前受金請求
102,FADP,K,Anmodning om forudbetaling
102,FADP,L,Żądanie zaliczki
102,FADP,M,訂金請求
102,FADP,N,Vooruitbetalingsaanvraag
102,FADP,O,Anmodning om forskuddsbetaling
102,FADP,P,Solicitação de adiantamento
102,FADP,Q,Požiadavka na zálohu
102,FADP,R,Требование аванса
102,FADP,S,Solicitud anticipo
102,FADP,T,Peşinat talebi
102,FADP,U,Ennakkomaksupyyntö
102,FADP,V,Förskottsanmodan
102,FADP,W,Заявка за авансово плащане
102,FADP,X,Išankst. dalinio mokėjimo reikalavimas
102,FADP,Y,Avansa maksājuma pieprasījums
102,FADP,c,Sol·licitud de bestreta
102,FADP,d,Zahtev za avans
102,FADP,묩,तत्काल भुगतान अनुरोध
102,FADP,뱋,Аванстық төлем талабы
102,FADP,쁩,Yêu cầu đặt cọc
102,FAS,1,预付款申请取消
102,FAS,2,การยกเลิกคำขอให้ชำระเงินดาวน์
102,FAS,3,선금 요청 취소
102,FAS,4,Anulare cerere de avans
102,FAS,5,Storno zahteve za predplačilo
102,FAS,6,Otkazivanje zahtjeva za predujam
102,FAS,7,Pembatalan Permintaan Bayaran Pndhluan
102,FAS,8,Скасування вимоги авансового платежу
102,FAS,9,Ettemaksetaotluse tühistamine
102,FAS,A,إلغاء طلب دفعة مقدمة
102,FAS,B,ביטול בקשה לתשלום מקדמה
102,FAS,C,Storno požadavku na zálohu
102,FAS,D,Storno Anzahlungsanforderung
102,FAS,E,Down Payment Request Cancellation
102,FAS,F,Annulation de la demande d'acompte
102,FAS,G,Ακύρωση Αίτησης Προκαταβολής
102,FAS,H,Előlegigénylés stornózása
102,FAS,I,Storno richiesta di acconto
102,FAS,J,前受金請求取消
102,FAS,K,Annullering af forudbetalingsanmodning
102,FAS,L,Storno żądania zaliczki
102,FAS,M,訂金請求取消
102,FAS,N,Storno vooruitbetalingsaanvraag
102,FAS,O,Annullering av anmodning om forsk.bet.
102,FAS,P,Estorno solicitação adiantamento
102,FAS,Q,Storno požiadavky na zálohu
102,FAS,R,Сторно запроса аванса
102,FAS,S,Cancelación de la solicitud de anticipo
102,FAS,T,Peşinat talebi iptali
102,FAS,U,Ennakkomaksupyynnön peruutus
102,FAS,V,Annullering av förskottsanmodan
102,FAS,W,"Заявка за аванс.плащане, сторно"
102,FAS,X,Atš. išankst. dalinio mok. užklausą
102,FAS,Y,Avansa maksājuma pieprasījuma atcelšana
102,FAS,c,Anul·lar sol·licitud de bestreta
102,FAS,d,Otkazivanje zahteva za avans
102,FAS,묩,तत्काल भुग.अनु.रद्द
102,FAS,뱋,Аван.төлем сұр.болд.
102,FAS,쁩,Hủy yêu cầu trả trước
102,FAZ,1,预付款请求
102,FAZ,2,คำขอให้ชำระเงินดาวน์
102,FAZ,3,선금 요청
102,FAZ,4,Cerere plată în avans
102,FAZ,5,Zahteva za predplač.
102,FAZ,6,Zahtjev za predujam
102,FAZ,7,Permintaan Bayaran Pendahuluan
102,FAZ,8,Вимога авансового платежу
102,FAZ,9,Ettemaksetaotlus
102,FAZ,A,طلب دَفعة مقدّمة
102,FAZ,B,בקשת מקדמה
102,FAZ,C,Požadavek na zálohu
102,FAZ,D,Anzahlungsanforderung
102,FAZ,E,Down Payment Request
102,FAZ,F,Demande d'acompte
102,FAZ,G,Αίτηση Προκαταβολής
102,FAZ,H,Előlegigénylés
102,FAZ,I,Richiesta di acconto
102,FAZ,J,前受金請求
102,FAZ,K,Anmodning om forudbetaling
102,FAZ,L,Żądanie zaliczki
102,FAZ,M,訂金請求
102,FAZ,N,Vooruitbetalingsaanvraag
102,FAZ,O,Anmodning om forskuddsbetaling
102,FAZ,P,Solicitação de adiantamento
102,FAZ,Q,Požiadavka na zálohu
102,FAZ,R,Требование авансового платежа
102,FAZ,S,Solicitud de anticipo
102,FAZ,T,Peşinat talebi
102,FAZ,U,Ennakkomaksupyyntö
102,FAZ,V,Förskottsanmodan
102,FAZ,W,Искане за авансово плащане
102,FAZ,X,Išankst. dalinio mokėj. reik.
102,FAZ,Y,Avansa maksājuma pieprasījums
102,FAZ,c,Sol·licitud de bestreta
102,FAZ,d,Zahtev za avans
102,FAZ,묩,तत्काल भुगतान अनुरोध
102,FAZ,뱋,Аванстық төлем талабы
102,FAZ,쁩,Yêu cầu trả trước
102,FAZS,1,BOS 预付请求
102,FAZS,2,BOS คำขอให้ชรง.ดาวน์
102,FAZS,3,BOS 선금요청
102,FAZS,4,SpecServCerereAvans
102,FAZS,5,ZahtZaPredplač SS
102,FAZS,6,Lista usluga zahtjev za predujam
102,FAZS,7,Permintaan Bayaran Pendahuluan BOS
102,FAZS,8,BOS DownPaymentReqst
102,FAZS,9,BOS ettemaksetaotlus
102,FAZS,A,طلب دفعة مقدمة لـBOS
102,FAZS,B,BOS בקשת מקדמה
102,FAZS,C,Požad.na zálohu SV
102,FAZS,D,Anzahlungsanf. LV
102,FAZS,E,BOS DownPaymentReqst
102,FAZS,F,Demande d'acompte cahier des charges
102,FAZS,G,Αίτησ.προκαταβ.BOS
102,FAZS,H,BOS DownPaymentReqst
102,FAZS,I,Rich. acconto CPS
102,FAZS,J,BOS 前払金請求
102,FAZS,K,ForudbetAnmodn. SYF
102,FAZS,L,Żądanie zaliczki SpU
102,FAZS,M,服務表訂金請求
102,FAZS,N,VoorBetAnvr. ServCat
102,FAZS,O,Anmodning om forsk.bet. TK
